tipo,codigo
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
debito,2-4-25-90-06-01
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
credito,5-1-01-01-03-00
