vigencia,fecha_creacion,concepto_kronos,concepto_titan
2017,2017-10-30,250,11
2017,2017-10-30,251,11
2017,2017-10-30,252,11
2017,2017-10-30,253,11
2017,2017-10-30,254,11
2017,2017-10-30,255,11
2017,2017-10-30,256,11
2017,2017-10-30,257,11
2017,2017-10-30,258,11
2017,2017-10-30,259,11
2017,2017-10-30,260,11
2017,2017-10-30,261,11
2017,2017-10-30,262,11
2017,2017-10-30,263,11
2017,2017-10-30,264,11
2017,2017-10-30,265,11
2017,2017-10-30,266,11
2017,2017-10-30,267,11
2017,2017-10-30,268,11
2017,2017-10-30,278,1272
2017,2017-10-30,279,1272
2017,2017-10-30,280,1272
2017,2017-10-30,281,1272
2017,2017-10-30,282,1272
2017,2017-10-30,283,1272
2017,2017-10-30,284,1272
2017,2017-10-30,285,1272
2017,2017-10-30,286,1272
2017,2017-10-30,287,1272
2017,2017-10-30,288,1272
2017,2017-10-30,289,1272
2017,2017-10-30,290,1272
2017,2017-10-30,291,1272
2017,2017-10-30,292,1272
2017,2017-10-30,293,1272
2017,2017-10-30,294,1272
2017,2017-10-30,295,1272
2017,2017-10-30,296,1272
2017,2017-10-30,297,1261
2017,2017-10-30,298,1261
2017,2017-10-30,299,1261
2017,2017-10-30,300,1261
2017,2017-10-30,301,1261
2017,2017-10-30,302,1261
2017,2017-10-30,303,1261
2017,2017-10-30,304,1261
2017,2017-10-30,305,1261
2017,2017-10-30,306,1261
2017,2017-10-30,307,1261
2017,2017-10-30,308,1261
2017,2017-10-30,309,1261
2017,2017-10-30,310,1261
2017,2017-10-30,311,1261
2017,2017-10-30,312,1261
2017,2017-10-30,313,1261
2017,2017-10-30,314,1261
2017,2017-10-30,315,1261
2017,2017-10-30,316,1262
2017,2017-10-30,317,1262
2017,2017-10-30,318,1262
2017,2017-10-30,319,1262
2017,2017-10-30,320,1262
2017,2017-10-30,321,1262
2017,2017-10-30,322,1262
2017,2017-10-30,323,1262
2017,2017-10-30,324,1262
2017,2017-10-30,325,1262
2017,2017-10-30,326,1262
2017,2017-10-30,327,1262
2017,2017-10-30,328,1262
2017,2017-10-30,329,1262
2017,2017-10-30,330,1262
2017,2017-10-30,331,1262
2017,2017-10-30,332,1262
2017,2017-10-30,333,1262
2017,2017-10-30,334,1262
2017,2017-10-30,335,1263
2017,2017-10-30,336,1263
2017,2017-10-30,337,1263
2017,2017-10-30,338,1263
2017,2017-10-30,339,1263
2017,2017-10-30,340,1263
2017,2017-10-30,341,1263
2017,2017-10-30,342,1263
2017,2017-10-30,343,1263
2017,2017-10-30,344,1263
2017,2017-10-30,345,1263
2017,2017-10-30,346,1263
2017,2017-10-30,347,1263
2017,2017-10-30,348,1263
2017,2017-10-30,349,1263
2017,2017-10-30,350,1263
2017,2017-10-30,351,1263
2017,2017-10-30,352,1263
2017,2017-10-30,353,1263
2017,2017-10-30,354,1273
2017,2017-10-30,355,1273
2017,2017-10-30,356,1273
2017,2017-10-30,357,1273
2017,2017-10-30,358,1273
2017,2017-10-30,359,1273
2017,2017-10-30,360,1273
2017,2017-10-30,361,1273
2017,2017-10-30,362,1273
2017,2017-10-30,363,1273
2017,2017-10-30,364,1273
2017,2017-10-30,365,1273
2017,2017-10-30,366,1273
2017,2017-10-30,367,1273
2017,2017-10-30,368,1273
2017,2017-10-30,369,1273
2017,2017-10-30,370,1273
2017,2017-10-30,371,1273
2017,2017-10-30,372,1273
